origen,codigo,producto,componente,valor_publicado_millones_quetzales,multiplicador_contable,valor_aplicado_millones_quetzales
domestico,P001,Maíz,exportaciones_fob,11.4508637896902,1,11.4508637896902
domestico,P002,Frijoles,exportaciones_fob,26.5721775959875,1,26.5721775959875
domestico,P003,Leguminosas (legumbres secas) y semillas oleaginosas,exportaciones_fob,351.565491270436,1,351.565491270436
domestico,P004,Arroz,exportaciones_fob,0.03701,1,0.03701
domestico,P005,Otros cereales,exportaciones_fob,1.2288042,1,1.2288042
domestico,P006,Hortalizas,exportaciones_fob,580.241991465419,1,580.241991465419
domestico,P007,Sandías y melones,exportaciones_fob,1099.27342362726,1,1099.27342362726
domestico,P008,Ejotes y arvejas,exportaciones_fob,560.204555924756,1,560.204555924756
domestico,P009,Raíces y tubérculos,exportaciones_fob,55.6360080572132,1,55.6360080572132
domestico,P010,Caña de azúcar y otras plantas azucareras,exportaciones_fob,2.316666,1,2.316666
domestico,P011,Tabaco y otras plantas no perennes,exportaciones_fob,285.9470406636,1,285.9470406636
domestico,P012,"Bananos, plátanos y otros",exportaciones_fob,4275.86101565449,1,4275.86101565449
domestico,P013,Frutas tropicales y subtropicales,exportaciones_fob,185.677269679283,1,185.677269679283
domestico,P014,"Berries, otras frutas y semillas de frutas",exportaciones_fob,190.693626935215,1,190.693626935215
domestico,P015,Palma africana,exportaciones_fob,0,1,0
domestico,P016,Café en grano,exportaciones_fob,5543.63570328,1,5543.63570328
domestico,P017,Cardamomo,exportaciones_fob,1690.199019,1,1690.199019
domestico,P018,Caucho natural,exportaciones_fob,1876.597296,1,1876.597296
domestico,P019,Propagación de plantas,exportaciones_fob,253.832085,1,253.832085
domestico,P020,"Otros frutos oleaginosos, otras plantas bebestibles y especias aromáticas",exportaciones_fob,19.1095586483933,1,19.1095586483933
domestico,P021,Ganado bovino,exportaciones_fob,23.9643991357754,1,23.9643991357754
domestico,P022,Ganado porcino y otro tipo de animales vivos n.c.p.,exportaciones_fob,1.13478,1,1.13478
domestico,P023,Aves de corral,exportaciones_fob,12.504845,1,12.504845
domestico,P024,Leche cruda,exportaciones_fob,0,1,0
domestico,P025,Huevos,exportaciones_fob,0,1,0
domestico,P026,Otros productos de animales vivos,exportaciones_fob,44.5266808997102,1,44.5266808997102
domestico,P027,Troncos de madera y leña,exportaciones_fob,11.523621,1,11.523621
domestico,P028,Productos forestales no madereros,exportaciones_fob,142.188999465724,1,142.188999465724
domestico,P029,"Peces vivos, frescos o refrigerados",exportaciones_fob,36.7811657646997,1,36.7811657646997
domestico,P030,Crustáceos sin congelar y otros productos de la pesca,exportaciones_fob,201.139168841933,1,201.139168841933
domestico,P031,Petróleo crudo y gas natural,exportaciones_fob,2214.71768859199,1,2214.71768859199
domestico,P032,Minerales metálicos,exportaciones_fob,4016.789804,1,4016.789804
domestico,P033,Minerales no metálicos,exportaciones_fob,66.9252307314348,1,66.9252307314348
domestico,P034,Carne y despojos comestibles de ganado bovino; cueros y pieles de bovino y de otros animales,exportaciones_fob,59.3365220083889,1,59.3365220083889
domestico,P035,Carne y despojos comestibles de ganado porcino,exportaciones_fob,0.957469,1,0.957469
domestico,P036,Carne y despojos comestibles de aves,exportaciones_fob,48.479381,1,48.479381
domestico,P037,Carne y despojos de otros animales y conservas y preparados de carne,exportaciones_fob,293.1183709692,1,293.1183709692
domestico,P038,"Pescado congelado, preparado o en conserva y sus productos",exportaciones_fob,581.34234650439,1,581.34234650439
domestico,P039,"Crustáceos, moluscos y demás invertebrados acuáticos congelados, preparados o en conserva y sus productos",exportaciones_fob,360.102272733167,1,360.102272733167
domestico,P040,"Vegetales preparados o en conserva, legumbres y papas",exportaciones_fob,518.5202664641,1,518.5202664641
domestico,P041,Preparaciones y conservas de frutas y nueces,exportaciones_fob,613.9647984352,1,613.9647984352
domestico,P042,Jugos de frutas,exportaciones_fob,262.7723544576,1,262.7723544576
domestico,P043,Aceites de origen vegetal,exportaciones_fob,2509.2955069106,1,2509.2955069106
domestico,P044,"Margarina, grasas y otros aceites de origen animal y vegetal",exportaciones_fob,353.2498629093,1,353.2498629093
domestico,P045,Leche líquida y crema procesada,exportaciones_fob,1.7222177733,1,1.7222177733
domestico,P046,Otros productos lácteos n.c.p.,exportaciones_fob,93.8315229994434,1,93.8315229994434
domestico,P047,Harina de trigo,exportaciones_fob,26.1100983200099,1,26.1100983200099
domestico,P048,Arroz sin cáscara,exportaciones_fob,3.446638,1,3.446638
domestico,P049,"Otros productos de molinería, almidones y productos de almidón",exportaciones_fob,282.567800800727,1,282.567800800727
domestico,P050,Pan y otros productos de panadería y repostería n.c.p.,exportaciones_fob,534.57478682291,1,534.57478682291
domestico,P051,"Tortillas de maíz, incluso tostadas, horneadas o fritas",exportaciones_fob,0,1,0
domestico,P052,"Azúcar de caña sin refinar y refinada, melaza y los demás azúcares n.c.p.",exportaciones_fob,7669.3661073908,1,7669.3661073908
domestico,P053,Productos alimenticios n.c.p.,exportaciones_fob,2106.01877040786,1,2106.01877040786
domestico,P054,Preparados para alimentación animal,exportaciones_fob,486.0510529846,1,486.0510529846
domestico,P055,"Aguardientes, licores, vinos, demás bebidas espirituosas y productos del tabaco",exportaciones_fob,932.8401244063,1,932.8401244063
domestico,P056,Malta y cerveza de malta,exportaciones_fob,67.2275917507,1,67.2275917507
domestico,P057,Bebidas no alcohólicas,exportaciones_fob,805.8001597261,1,805.8001597261
domestico,P058,Aguas minerales y otras aguas embotelladas,exportaciones_fob,25.854833,1,25.854833
domestico,P059,"Hilados, tejidos, telas y otros productos textiles excepto prendas de vestir",exportaciones_fob,1335.8201176744,1,1335.8201176744
domestico,P060,"Prendas de vestir, adobo y teñido de pieles",exportaciones_fob,2056.01596690294,1,2056.01596690294
domestico,P061,Cuero de piel curtida o adobada y cuero artificial o regenerado y artículos de cuero,exportaciones_fob,112.107586828927,1,112.107586828927
domestico,P062,"Calzado y sus partes, de cualquier material y de cualquier uso",exportaciones_fob,270.096255615323,1,270.096255615323
domestico,P063,"Madera aserrada y acepillada, productos de madera, corcho, paja y materiales trenzables",exportaciones_fob,429.038133821652,1,429.038133821652
