origen,producto_insumo_codigo,producto_insumo,producto_destino_codigo,producto_destino,valor_millones_quetzales
domestico,P001,Maíz,P001,Maíz,53.5496715019561
domestico,P001,Maíz,P002,Frijoles,0
domestico,P001,Maíz,P003,Leguminosas (legumbres secas) y semillas oleaginosas,0
domestico,P001,Maíz,P004,Arroz,0
domestico,P001,Maíz,P005,Otros cereales,0
domestico,P001,Maíz,P006,Hortalizas,0
domestico,P001,Maíz,P007,Sandías y melones,0
domestico,P001,Maíz,P008,Ejotes y arvejas,0
domestico,P001,Maíz,P009,Raíces y tubérculos,0
domestico,P001,Maíz,P010,Caña de azúcar y otras plantas azucareras,0
domestico,P001,Maíz,P011,Tabaco y otras plantas no perennes,0
domestico,P001,Maíz,P012,"Bananos, plátanos y otros",0
domestico,P001,Maíz,P013,Frutas tropicales y subtropicales,0
domestico,P001,Maíz,P014,"Berries, otras frutas y semillas de frutas",0
domestico,P001,Maíz,P015,Palma africana,0
domestico,P001,Maíz,P016,Café en grano,0
domestico,P001,Maíz,P017,Cardamomo,0
domestico,P001,Maíz,P018,Caucho natural,0
domestico,P001,Maíz,P019,Propagación de plantas,0.00917701587214602
domestico,P001,Maíz,P020,"Otros frutos oleaginosos, otras plantas bebestibles y especias aromáticas",0
domestico,P001,Maíz,P021,Ganado bovino,0
domestico,P001,Maíz,P022,Ganado porcino y otro tipo de animales vivos n.c.p.,0
domestico,P001,Maíz,P023,Aves de corral,9.45412140267361
domestico,P001,Maíz,P024,Leche cruda,0
domestico,P001,Maíz,P025,Huevos,0
domestico,P001,Maíz,P026,Otros productos de animales vivos,0
domestico,P001,Maíz,P027,Troncos de madera y leña,0
domestico,P001,Maíz,P028,Productos forestales no madereros,0
domestico,P001,Maíz,P029,"Peces vivos, frescos o refrigerados",0
domestico,P001,Maíz,P030,Crustáceos sin congelar y otros productos de la pesca,0
domestico,P001,Maíz,P031,Petróleo crudo y gas natural,0
domestico,P001,Maíz,P032,Minerales metálicos,0
domestico,P001,Maíz,P033,Minerales no metálicos,0
