codigo,producto,producto_produccion_cero,apto_para_simulacion,estado_simulacion,choque_demanda_final_unitario,produccion_directa,produccion_indirecta,produccion_total,importaciones_intermedias_directas,importaciones_intermedias_indirectas,importaciones_intermedias_totales,valor_agregado_directo,valor_agregado_indirecto,valor_agregado_total,impuestos_netos_sobre_insumos_intermedios_asociados_directos,impuestos_netos_sobre_insumos_intermedios_asociados_indirectos,impuestos_netos_sobre_insumos_intermedios_asociados_totales,empleo_directo_puestos,empleo_indirecto_puestos,empleo_total_puestos,residuo_identidad_produccion_max_abs
P001,Maíz,False,True,apto,1,1,0.270921724578938,1.27092172457894,0.15016828423575,0.0548980576043163,0.205066341840066,0.683797665542198,0.144024945094414,0.827822610636612,-0.034557989046015,0.00166903656932611,-0.0328889524766889,172.75251312235,3.83262108623268,176.585134208582,3.34454686168328e-15
P002,Frijoles,False,True,apto,1,1,0.366652332949,1.366652332949,0.0833220066064039,0.0628745040961319,0.146196510702536,0.692856356322964,0.207679593439395,0.900535949762359,-0.0470454174887092,0.000312957023808229,-0.046732460464901,216.456649847429,13.3470957309289,229.803745578358,3.79557496543725e-15
P003,Leguminosas (legumbres secas) y semillas oleaginosas,False,True,apto,1,1,0.482604941043977,1.48260494104398,0.2010126211828,0.0859297486313754,0.286942369814176,0.451204665725349,0.255328944066493,0.706533609791842,0.0033600042677326,0.00316401612623781,0.00652402039397041,140.96363691832,27.1935108061473,168.157147724468,1.16573417585641e-15
P004,Arroz,False,True,apto,1,1,0.473365476919173,1.47336547691917,0.205847713080351,0.0869319768839363,0.292779689964288,0.437625995434283,0.26048963746309,0.698115632897373,0.0050396793875902,0.00406499775073718,0.00910467713832738,26.2992466631522,5.52359029196963,31.8228369551218,3.85108611666851e-16
P005,Otros cereales,False,True,apto,1,1,0.29213539090717,1.29213539090717,0.184194517772796,0.0578323771352151,0.242026894908011,0.595148873230488,0.156388689467437,0.751537562697925,0.0041116712702224,0.00232387112383051,0.00643554239405291,150.451789726226,3.4927136545013,153.944503380727,1.73298875250083e-15
P006,Hortalizas,False,True,apto,1,1,0.253968523826009,1.25396852382601,0.0889613896624061,0.0526631323594212,0.141624522021827,0.723553665671259,0.128249895252392,0.851803560923651,0.0040987106140103,0.0024732064405011,0.0065719170545114,26.5797628288484,1.92252420875671,28.5022870376051,2.30891694652513e-15
P007,Sandías y melones,False,True,apto,1,1,0.278874152761408,1.27887415276141,0.116649357327295,0.0555174633342652,0.17216682066156,0.676582131141904,0.144793440636341,0.821375571778245,0.0039562290693819,0.00250137849079808,0.00645760756017998,24.2818621497754,3.78204711311,28.0639092628854,2.48383480878686e-15
P008,Ejotes y arvejas,False,True,apto,1,1,0.230467509132521,1.23046750913252,0.0818281348029417,0.0481497765222781,0.12997791132522,0.747184615344884,0.116938073079875,0.864122688424759,0.0037125525548656,0.00218684769514006,0.00589940025000566,26.8163721553967,1.68302696176235,28.499399117159,4.49171190481396e-15
P009,Raíces y tubérculos,False,True,apto,1,1,0.41625563642363,1.41625563642363,0.107780446659485,0.0749874861196007,0.182767932779085,0.585567410404564,0.222941413386606,0.80850882379117,0.0050551841321524,0.00366805929757477,0.00872324342972717,21.0148014530553,3.85828615708231,24.8730876101376,6.66133814775094e-16
P010,Caña de azúcar y otras plantas azucareras,False,True,apto,1,1,0.686939363583173,1.68693936358317,0.12487320683092,0.0681825619287734,0.193055768759693,0.314929579393154,0.476305258220712,0.791234837613866,0.0104414631032073,0.00526793052319943,0.0157093936264067,3.88363918278732,11.93147737118,15.8151165539673,7.21644966006352e-16
P011,Tabaco y otras plantas no perennes,False,True,apto,1,1,0.350960807830339,1.35096080783034,0.0905535021114621,0.049854089833848,0.14040759194531,0.640185912859007,0.211577682710131,0.851763595569138,0.0048059284639647,0.00302288402155807,0.00782881248552277,23.0910901062071,5.11066651790815,28.2017566241153,4.40272818202914e-15
P012,"Bananos, plátanos y otros",False,True,apto,1,1,0.43769407234383,1.43769407234383,0.118800310367476,0.0834141527949485,0.202214463162424,0.553219158279243,0.23446244918265,0.787681607461893,0.0057971858412004,0.00430674353446711,0.0101039293756675,12.4693918173614,4.09134964813042,16.5607414654918,1.36836732672922e-15
