codigo,producto,producto_produccion_cero,apto_para_simulacion,estado_simulacion,coeficiente_insumo_domestico_directo,coeficiente_importacion_directa,coeficiente_intermedio_total_directo,coeficiente_valor_agregado_directo,coeficiente_impuestos_netos_sobre_insumos_intermedios_asociados_directo,coeficiente_empleo_directo_puestos_por_millon,multiplicador_produccion_domestica,multiplicador_produccion_indirecta,requerimiento_importacion_total,requerimiento_importacion_indirecta,multiplicador_valor_agregado,multiplicador_valor_agregado_indirecto,impuestos_netos_sobre_insumos_intermedios_asociados_total,impuestos_netos_sobre_insumos_intermedios_asociados_indirecto,multiplicador_empleo_puestos_por_millon,multiplicador_empleo_indirecto_puestos_por_millon,encadenamiento_atras_directo_normalizado,indice_dispersion_adelante_directo_normalizado,encadenamiento_adelante_directo_normalizado,encadenamiento_atras_normalizado,indice_dispersion_adelante_rh_normalizado,encadenamiento_adelante_normalizado,metodo_indice_adelante,tipo_encadenamiento,ranking_multiplicador_produccion,ranking_requerimiento_importacion,ranking_multiplicador_valor_agregado,ranking_multiplicador_empleo,ranking_encadenamiento_atras,ranking_indice_dispersion_adelante_rh
P001,Maíz,False,True,apto,0.200592039268066,0.15016828423575,0.350760323503816,0.683797665542198,-0.034557989046015,172.75251312235,1.27092172457894,0.270921724578938,0.205066341840066,0.0548980576043163,0.827822610636612,0.144024945094414,-0.0328889524766889,0.00166903656932611,176.585134208582,3.83262108623268,0.618575447333176,0.955330071857591,0.955330071857591,0.861799144900407,1.05218252018142,1.05218252018142,Rasmussen-Hirschman_filas_L_no_Ghosh,proveedor_estrategico,123,69,56,2,123,45
P002,Frijoles,False,True,apto,0.27086705455934,0.0833220066064039,0.354189061165744,0.692856356322964,-0.0470454174887092,216.456649847429,1.366652332949,0.366652332949,0.146196510702536,0.0628745040961319,0.900535949762359,0.207679593439395,-0.046732460464901,0.000312957023808229,229.803745578358,13.3470957309289,0.835285936835966,0.290690437481304,0.290690437481304,0.926713100526941,0.746801479393446,0.746801479393446,Rasmussen-Hirschman_filas_L_no_Ghosh,bajo_promedio,95,99,24,1,95,89
P003,Leguminosas (legumbres secas) y semillas oleaginosas,False,True,apto,0.344422708824117,0.2010126211828,0.545435330006917,0.451204665725349,0.0033600042677326,140.96363691832,1.48260494104398,0.482604941043977,0.286942369814176,0.0859297486313754,0.706533609791842,0.255328944066493,0.00652402039397041,0.00316401612623781,168.157147724468,27.1935108061473,1.06211309262311,0.586310524791602,0.586310524791602,1.00533938928468,0.850082275470922,0.850082275470922,Rasmussen-Hirschman_filas_L_no_Ghosh,impulsor_demanda,62,37,104,3,62,64
P004,Arroz,False,True,apto,0.351486612097776,0.205847713080351,0.557334325178127,0.437625995434283,0.0050396793875902,26.2992466631522,1.47336547691917,0.473365476919173,0.292779689964288,0.0869319768839363,0.698115632897373,0.26048963746309,0.00910467713832738,0.00406499775073718,31.8228369551218,5.52359029196963,1.08389639540704,0.627964741060527,0.627964741060527,0.999074202272683,0.821329980088234,0.821329980088234,Rasmussen-Hirschman_filas_L_no_Ghosh,bajo_promedio,67,34,108,15,67,69
P005,Otros cereales,False,True,apto,0.216544937726492,0.184194517772796,0.400739455499289,0.595148873230488,0.0041116712702224,150.451789726226,1.29213539090717,0.29213539090717,0.242026894908011,0.0578323771352151,0.751537562697925,0.156388689467437,0.00643554239405291,0.00232387112383051,153.944503380727,3.4927136545013,0.667770177773073,0.0317250302199953,0.0317250302199953,0.876183917108098,0.686696822364522,0.686696822364522,Rasmussen-Hirschman_filas_L_no_Ghosh,bajo_promedio,117,51,92,4,117,125
P006,Hortalizas,False,True,apto,0.183386234052322,0.0889613896624061,0.272347623714729,0.723553665671259,0.0040987106140103,26.5797628288484,1.25396852382601,0.253968523826009,0.141624522021827,0.0526631323594212,0.851803560923651,0.128249895252392,0.0065719170545114,0.0024732064405011,28.5022870376051,1.92252420875671,0.565517067265396,0.469341147939677,0.469341147939677,0.850303351233776,0.799774546546803,0.799774546546803,Rasmussen-Hirschman_filas_L_no_Ghosh,bajo_promedio,127,101,40,17,127,74
P007,Sandías y melones,False,True,apto,0.202812282461417,0.116649357327295,0.319461639788712,0.676582131141904,0.0039562290693819,24.2818621497754,1.27887415276141,0.278874152761408,0.17216682066156,0.0555174633342652,0.821375571778245,0.144793440636341,0.00645760756017998,0.00250137849079808,28.0639092628854,3.78204711311,0.625422119471943,0.00621422766323472,0.00621422766323472,0.867191605879706,0.679683603551312,0.679683603551312,Rasmussen-Hirschman_filas_L_no_Ghosh,bajo_promedio,121,86,60,20,121,132
P008,Ejotes y arvejas,False,True,apto,0.167274697297306,0.0818281348029417,0.249102832100248,0.747184615344884,0.0037125525548656,26.8163721553967,1.23046750913252,0.230467509132521,0.12997791132522,0.0481497765222781,0.864122688424759,0.116938073079875,0.00589940025000566,0.00218684769514006,28.499399117159,1.68302696176235,0.515833136179075,0.128355926339055,0.128355926339055,0.834367551274223,0.70712946349839,0.70712946349839,Rasmussen-Hirschman_filas_L_no_Ghosh,bajo_promedio,133,110,37,18,133,105
P009,Raíces y tubérculos,False,True,apto,0.301596958803797,0.107780446659485,0.409377405463282,0.585567410404564,0.0050551841321524,21.0148014530553,1.41625563642363,0.41625563642363,0.182767932779085,0.0749874861196007,0.80850882379117,0.222941413386606,0.00872324342972717,0.00366805929757477,24.8730876101376,3.85828615708231,0.930049240174829,0.200942195714372,0.200942195714372,0.960348598049682,0.728346669884161,0.728346669884161,Rasmussen-Hirschman_filas_L_no_Ghosh,bajo_promedio,83,76,66,24,83,95
P010,Caña de azúcar y otras plantas azucareras,False,True,apto,0.549755750672717,0.12487320683092,0.674628957503637,0.314929579393154,0.0104414631032073,3.88363918278732,1.68693936358317,0.686939363583173,0.193055768759693,0.0681825619287734,0.791234837613866,0.476305258220712,0.0157093936264067,0.00526793052319943,15.8151165539673,11.93147737118,1.69530860066639,1.44366300944718,1.44366300944718,1.14389649096326,1.27807240764427,1.27807240764427,Rasmussen-Hirschman_filas_L_no_Ghosh,clave,33,75,74,44,33,25
