indicador_id,indicador,unidad,criterio_desempate,posicion_ordenada,rango_con_empates,codigo,producto,producto_produccion_cero,apto_para_simulacion,estado_simulacion,valor
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,1,1,P036,Carne y despojos comestibles de aves,False,True,apto,2.36674459892313
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,2,2,P035,Carne y despojos comestibles de ganado porcino,False,True,apto,2.35180574639109
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,3,3,P016,Café en grano,False,True,apto,2.08956023340053
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,4,4,P052,"Azúcar de caña sin refinar y refinada, melaza y los demás azúcares n.c.p.",False,True,apto,2.02340021077659
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,5,5,P018,Caucho natural,False,True,apto,1.9958577340132
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,6,6,P045,Leche líquida y crema procesada,False,True,apto,1.9821483701021
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,7,7,P034,Carne y despojos comestibles de ganado bovino; cueros y pieles de bovino y de otros animales,False,True,apto,1.98166820672735
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,8,8,P023,Aves de corral,False,True,apto,1.97239514159786
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,9,9,P037,Carne y despojos de otros animales y conservas y preparados de carne,False,True,apto,1.95783119298782
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,10,10,P046,Otros productos lácteos n.c.p.,False,True,apto,1.92770447250568
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,11,11,P080,"Artículos de hormigón, cemento y yeso",False,True,apto,1.89875287602272
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,12,12,P022,Ganado porcino y otro tipo de animales vivos n.c.p.,False,True,apto,1.8547982893645
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,13,13,P044,"Margarina, grasas y otros aceites de origen animal y vegetal",False,True,apto,1.84887160698701
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,14,14,P024,Leche cruda,False,True,apto,1.8487218165075
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,15,15,P111,Servicio de suministro de comidas y bebidas,False,True,apto,1.82783041002092
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,16,16,P113,Servicios de banco central,False,True,apto,1.82722001427535
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,17,17,P055,"Aguardientes, licores, vinos, demás bebidas espirituosas y productos del tabaco",False,True,apto,1.81739059608039
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,18,18,P017,Cardamomo,False,True,apto,1.81583195822136
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,19,19,P043,Aceites de origen vegetal,False,True,apto,1.80693624625906
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,20,20,P092,Muebles,False,True,apto,1.76913013864914
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,21,21,P061,Cuero de piel curtida o adobada y cuero artificial o regenerado y artículos de cuero,False,True,apto,1.75792050740315
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,22,22,P057,Bebidas no alcohólicas,False,True,apto,1.74084031357767
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,23,23,P114,Otros servicios financieros y servicios de banca de inversión,False,True,apto,1.72564405512379
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,24,24,P074,Otros productos químicos,False,True,apto,1.72486015434598
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,25,25,P137,Servicios públicos del gobierno general,False,True,apto,1.71433266366585
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,26,26,P099,Edificaciones no residenciales,False,True,apto,1.71147851592574
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,27,27,P139,Otros servicios administrativos,False,True,apto,1.69729627742901
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,28,28,P100,Obras de ingeniería civil,False,True,apto,1.69435813854528
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,29,29,P040,"Vegetales preparados o en conserva, legumbres y papas",False,True,apto,1.69386721127491
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,30,30,P116,"Servicios de seguro, reaseguro y fondos de pensiones",False,True,apto,1.69232895842324
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,31,31,P101,Servicios generales y especializados de construcción,False,True,apto,1.68873814775874
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,32,32,P019,Propagación de plantas,False,True,apto,1.68731144417733
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,33,33,P010,Caña de azúcar y otras plantas azucareras,False,True,apto,1.68693936358317
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,34,34,P148,Servicios de asociaciones que sirven a los hogares,False,True,apto,1.68615727385742
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,35,35,P063,"Madera aserrada y acepillada, productos de madera, corcho, paja y materiales trenzables",False,True,apto,1.68424077564051
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,36,36,P030,Crustáceos sin congelar y otros productos de la pesca,False,True,apto,1.68388643177874
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,37,37,P081,Piedras talladas para construcción y otros productos minerales no metálicos n.c.p.,False,True,apto,1.68375127508284
multiplicador_produccion_domestica,Multiplicador de producción doméstica,millones por millón de demanda final,codigo_ascendente,38,38,P050,Pan y otros productos de panadería y repostería n.c.p.,False,True,apto,1.67175547969703
