codigo,producto,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P054,P055,P056,P057,P058,P059,P060,P061,P062,P063,P064,P065,P066,P067,P068,P069,P070,P071,P072,P073,P074,P075,P076,P077,P078,P079,P080,P081,P082,P083,P084,P085,P086,P087,P088,P089,P090,P091,P092,P093,P094,P095,P096,P097,P098,P099,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P143,P144,P145,P146,P147,P148,P149,P150,P151,P152
P001,Maíz,0.011300909498151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61982087253082e-05,0,0,0,0.00141680753097787,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43139782821894e-07,0,0,0,0,0,0,0,0,0,0,0,0.0696529026235103,0,0.153331870923446,0,0.0014226188885315,0.0721700654893592,2.59285471883504e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000451636751965283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1082270250745e-08,0,5.75028811968004e-06,0,0,0,0,0,0,0
P002,Frijoles,0,0.0451168147660086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000915718570131943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93167853437106e-08,0,0,0.0456601588734014,0,0,0,0,0,0,0,0,0,0,0,0,0.000522859929088007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178039609550003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67266163524256e-05,0,0,0.000252565680954505,0,0,0,0
P003,Leguminosas (legumbres secas) y semillas oleaginosas,0,0,0.14409002274307,0,0,0,0.00836255859917686,0,0,0,0,0,0,0,0,0,0,0,3.33102100980088e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000644188651814587,0.0266230899114652,0,0,0.000554263392738828,0,0,0,0,0.000125926712340525,0.000865942579536375,0,0,0.000542021029835096,0.00795377452340553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00032908731065707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4280363065629e-07,0,3.24277129685767e-07,4.49693169918864e-06,0,0,0,0,0,0
P004,Arroz,0,0,0,0.0231091182113992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000287072402148403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156586804538943,0.0236538102539278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P005,Otros cereales,0,0,0,0,0.00825733562487017,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000184300176813127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00076912713784128,0,0.000362703990947565,0,0,0,7.08047837847784e-05,0.000642893863456137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47388523856928e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P006,Hortalizas,0,0,0,0,0,0.00757835593015316,0.00795861732464564,0.00767728775337542,0.009981853503603,0,0,0,0,0,0,0,0,0,0.0336368374899775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35808086912685e-05,0,0,0.0527798848642171,0,0,0,0,0,0,0,0,0,9.63712458909275e-05,0,0,0.00593820136525426,1.89145579346377e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241529346064154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07951543304547e-05,0,0.00076507147026718,0.00156843536631785,0,0,0,0,0,0
P007,Sandías y melones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000476901040017704,0.000863316787300152,0,0,0,0,0,0,0,0,0,0,0.000199008472973812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000426289718749448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95985672846707e-07,0,1.08641596175522e-05,3.80775324704089e-05,0,0,0,0,0,0
P008,Ejotes y arvejas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041231512753491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000294958607009514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00673222073221e-07,0,3.06476591134643e-06,9.35045849860124e-05,0,0,0,0,0,0
P009,Raíces y tubérculos,0,0,0,0,0,0,0,0,0.0493707122126066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00089043516717507,0,0,0,0,0,0,0,0,0.00553241229364436,0,0,0,0.00149974277780551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00776889617539137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27875019768583e-05,0,5.55065465681539e-05,2.42981571640186e-05,0,6.87212587880115e-06,0,0,0,0
P010,Caña de azúcar y otras plantas azucareras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467697268719009,0,0,0.000442514547782772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21751230248271e-05,0,0,0,0,0,0
P011,Tabaco y otras plantas no perennes,0,0,0,0,0,0,0.00281582160868253,0,0,0,0.00524746772599308,0,0,0,0.000242350470976244,0,0,0,0.00118214785255696,0,0.00975974078119945,0.00177923572169055,0,0.115456303460324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00391297534205614,0.0034524059533756,0,0,0,0,0,0,6.18228559134052e-05,1.33947985476318e-08,0.268295237760737,0,0,0,0.021614784361909,0.00194944633380844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00026291433288243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014220454416901,0,0,0,0,0,0,0,0,2.1770710530293e-05,0,0,0,0,0,0,0,0,0.00024637013840645,0,0,0,0,0,0,0,5.15692775603317e-06,0,0,0,0,0,0,0,0,0,0,0,2.23117995197878e-05,0,0,0,0,0,4.34550075504218e-07,0,2.36710025904764e-09,0,0,0,3.03306407934049e-07,0,0.0010207259103901,5.43952563953787e-05,0,0,0.000165376784783757,0,0,0
P012,"Bananos, plátanos y otros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0428900241657366,0,0,0,0,0,0,0,0,0,0,0,0.00214671762359526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154395239557926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59950064172678e-06,0,2.81112795789314e-05,0.000157739202964666,0,0,0,0,0,0
P013,Frutas tropicales y subtropicales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412501374632651,0.0900828127109542,0,0,0,0.000763694102362119,0,0,0,1.63908040494976e-05,0,0,0.000576522544650184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019822683049455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.86359575937384e-07,0,3.8568474270168e-05,0.000194878363046953,0,0,0,0,0,0
P014,"Berries, otras frutas y semillas de frutas",0,0,0,0,0,0,0.00997387630148933,0,0,0,0,0,0.00348364606249407,0.00572954332763418,0,0,0,0,0.000115131624057403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0432940817951099,0.067951072790106,1.46840204178592e-05,0,0.00211280034393769,0.0019619429457771,0,0,0,2.05546294527432e-05,0,0,0.00108574143324791,0,0.000113926112117249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68200130407214e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00333381568503757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0579181552027e-06,0,9.28688142247418e-05,4.64204998174641e-05,0,0,0,0,0,0
