codigo,producto,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P054,P055,P056,P057,P058,P059,P060,P061,P062,P063,P064,P065,P066,P067,P068,P069,P070,P071,P072,P073,P074,P075,P076,P077,P078,P079,P080,P081,P082,P083,P084,P085,P086,P087,P088,P089,P090,P091,P092,P093,P094,P095,P096,P097,P098,P099,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P143,P144,P145,P146,P147,P148,P149,P150,P151,P152
P001,Maíz,0.00994032694894704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68072665251522e-05,0,0,0,0.00214078966405239,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8127820312363e-07,0,0,0,0,0,0,0,0,0,0,0,0.092505192434724,0,0.0945511127374719,0,0.00152883662067186,0.14279399543348,1.36978590658624e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000252481305300656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19054726484431e-08,0,3.03783496843269e-06,0,0,0,0,0,0,0
P002,Frijoles,0,0.0134218661957407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000268885805217587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1544732007515e-08,0,0,0.0136066068740021,0,0,0,0,0,0,0,0,0,0,0,0,0.000224074883548825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000524711204976772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91149775590739e-06,0,0,7.41617880356024e-05,0,0,0,0
P003,Leguminosas (legumbres secas) y semillas oleaginosas,0,0,0.120009840729106,0,0,0,0.0156842497439096,0,0,0,0,0,0,0,0,0,0,0,0.000104702621605581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00153046230045457,0.0180526103148316,0,0,0.000483844033583847,0,0,0,0,0.000109927679209918,0.000515641790456362,0,0,0.00057554524543928,0.00765989720696504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000194817845972967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2467707804881e-07,0,7.70417000698377e-07,3.92612079766739e-06,0,0,0,0,0,0
P004,Arroz,0,0,0,0.05434087164762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000761933767293313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36826136712319,0.0556080710599767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P005,Otros cereales,0,0,0,0,0.0150004068329962,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000295969211856468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.510429979948123,0,0.00118956917594297,0,0,0,0.0232811338367026,0.00795092942938704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.87893596069703e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P006,Hortalizas,0,0,0,0,0,0.002079612268402,0.00218396158485991,0.00210676061498332,0.00273916733376031,0,0,0,0,0,0,0,0,0,0.0111689474616904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000731893835035352,0,0,0,0,0,0,0,0,0,7.79318227830762e-06,0,0,0.000233451264058065,8.28230791855424e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000746760018564419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43928686827957e-06,0,2.21923902602958e-05,7.7071970149236e-05,0,0,0,0,0,0
P007,Sandías y melones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06465583190274e-07,5.54783614412065e-07,0,0,0,0,0,0,0,0,0,0,1.27886589933861e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11565714725012e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96461099463088e-10,0,6.98151336842684e-09,2.71614982500714e-08,0,0,0,0,0,0
P008,Ejotes y arvejas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05867988875816e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76104756016262e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5912407381392e-09,0,0,4.72932420854194e-07,0,0,0,0,0,0
P009,Raíces y tubérculos,0,0,0,0,0,0,0,0,0.00245513051321992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.40134842440855e-05,0,0,0,0,0,0,0,0,0.000282969744105143,0,0,0,0.000521981705804899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000387713700882702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66655257670031e-07,0,2.74364331722355e-06,1.45675910550782e-06,0,3.39683577905866e-07,0,0,0,0
P010,Caña de azúcar y otras plantas azucareras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20795922701829e-05,0,0,1.14291779498327e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14456662066988e-10,0,0,0,0,0,0
