codigo,producto,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P054,P055,P056,P057,P058,P059,P060,P061,P062,P063,P064,P065,P066,P067,P068,P069,P070,P071,P072,P073,P074,P075,P076,P077,P078,P079,P080,P081,P082,P083,P084,P085,P086,P087,P088,P089,P090,P091,P092,P093,P094,P095,P096,P097,P098,P099,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P143,P144,P145,P146,P147,P148,P149,P150,P151,P152
P001,Maíz,0.021241236447098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30054752504604e-05,0,0,0,0.00355759719503025,0,0,0,0,0,0,0,0,0,0,0,0,0,5.24417985945524e-07,0,0,0,0,0,0,0,0,0,0,0,0.162158095058234,0,0.247882983660917,0,0.00295145550920336,0.214964060922839,3.96264062542128e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000704118057265939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29877428991881e-08,0,8.78812308811273e-06,0,0,0,0,0,0,0
P002,Frijoles,0,0.0585386809617493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118460437534953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08615173512256e-08,0,0,0.0592667657474035,0,0,0,0,0,0,0,0,0,0,0,0,0.000746934812636832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023051073004768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1638114108333e-05,0,0,0.000326727468990107,0,0,0,0
P003,Leguminosas (legumbres secas) y semillas oleaginosas,0,0,0.264099863472176,0,0,0,0.0240468083430864,0,0,0,0,0,0,0,0,0,0,0,0.00013801283170359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00217465095226916,0.0446757002262968,0,0,0.00103810742632268,0,0,0,0,0.000235854391550443,0.00138158436999274,0,0,0.00111756627527438,0.0156136717303706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000523905156630037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.674807087051e-07,0,1.09469413038414e-06,8.42305249685603e-06,0,0,0,0,0,0
P004,Arroz,0,0,0,0.0774499898590193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00104900616944172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.524848171662133,0.0792618813139044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P005,Otros cereales,0,0,0,0,0.0232577424578663,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000480269388669595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.511199107085964,0,0.00155227316689054,0,0,0,0.0233519386204874,0.00859382329284318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23528211992663e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P006,Hortalizas,0,0,0,0,0,0.00965796819855516,0.0101425789095056,0.00978404836835873,0.0127210208373633,0,0,0,0,0,0,0,0,0,0.0448057849516679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35808086912685e-05,0,0,0.0535117786992524,0,0,0,0,0,0,0,0,0,0.000104164428169235,0,0,0.00617165262931233,1.97427887264931e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248996946249798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22344411987343e-05,0,0.000787263860527476,0.00164550733646709,0,0,0,0,0,0
P007,Sandías y melones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000477207505600895,0.000863871570914564,0,0,0,0,0,0,0,0,0,0,0.000199136359563746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000426601284464173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9648213394617e-07,0,1.08711411309206e-05,3.81046939686589e-05,0,0,0,0,0,0
P008,Ejotes y arvejas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412420995523786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296719654569676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0226446281136e-07,0,3.06476591134643e-06,9.39775174068666e-05,0,0,0,0,0,0
P009,Raíces y tubérculos,0,0,0,0,0,0,0,0,0.0518258427258265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000934448651419155,0,0,0,0,0,0,0,0,0.0058153820377495,0,0,0,0.00202172448361041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00815660987627407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35541572345283e-05,0,5.82501898853775e-05,2.57549162695264e-05,0,7.21180945670701e-06,0,0,0,0
P010,Caña de azúcar y otras plantas azucareras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467709348311279,0,0,0.000442525976960722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21754374814891e-05,0,0,0,0,0,0
