codigo,producto,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P054,P055,P056,P057,P058,P059,P060,P061,P062,P063,P064,P065,P066,P067,P068,P069,P070,P071,P072,P073,P074,P075,P076,P077,P078,P079,P080,P081,P082,P083,P084,P085,P086,P087,P088,P089,P090,P091,P092,P093,P094,P095,P096,P097,P098,P099,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P143,P144,P145,P146,P147,P148,P149,P150,P151,P152
P001,Maíz,53.5496715019561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00917701587214602,0,0,0,9.45412140267361,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000865350283412865,0,0,0,0,0,0,0,0,0,0,0,79.3806090167235,0,876.796241100332,0,10.1740840653572,435.250084645773,0.0387257536812409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3871629782432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09818727291424e-05,0,0.0153153956231828,0,0,0,0,0,0,0
P002,Frijoles,0,69.4535819365294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518795873977713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.91514043060469e-05,0,0,46.1219991209502,0,0,0,0,0,0,0,0,0,0,0,0,3.73931550876515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.8314037881532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445498975951923,0,0,0.486434713725882,0,0,0,0
P003,Leguminosas (legumbres secas) y semillas oleaginosas,0,0,95.8108509897429,0,0,0,10.5508936532182,0,0,0,0,0,0,0,0,0,0,0,0.018871736496168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650704447067228,26.2903197514347,0,0,0.616854602917568,0,0,0,0,0.143513604466651,6.58186679215893,0,0,3.87634915239046,47.9683787328151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.02596640650324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000914656375197386,0,0.000863684119703554,0.00988657163864926,0,0,0,0,0,0
P004,Arroz,0,0,0,2.68618243241268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162639464378235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0393676679993,26.9572952856243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P005,Otros cereales,0,0,0,0,0.879235248388418,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10441436312713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66813196186842,0,0.413359136658516,0,0,0,0.506371613833541,3.87722536470177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177560996096183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P006,Hortalizas,0,0,0,0,0,39.8976343603438,10.0412480251273,5.92049923158053,17.447390293618,0,0,0,0,0,0,0,0,0,19.0567856464293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0846860777239155,0,0,53.3137392285628,0,0,0,0,0,0,0,0,0,0.732499726931182,0,0,42.4679865944138,0.000114071712229529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662.449050194913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1972427738993,0,2.03770176437767,3.4482286249734,0,0,0,0,0,0
P007,Sandías y melones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470940107761789,0.98027509431646,0,0,0,0,0,0,0,0,0,0,1.42324058121002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6919630635037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00445778394981755,0,0.0289357505560045,0.0837140249783232,0,0,0,0,0,0
P008,Ejotes y arvejas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.6485584345996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.08990924888966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00192581013631461,0,0.00816273923111291,0.205571229416976,0,0,0,0,0,0
P009,Raíces y tubérculos,0,0,0,0,0,0,0,0,86.2956047928691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899441679814994,0,0,0,0,0,0,0,0,6.30506756588293,0,0,0,10.7256477618936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.079610255059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0819038714368108,0,0.147836891417399,0.0534198621545824,0,0.0132355297517441,0,0,0,0
P010,Caña de azúcar y otras plantas azucareras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6100.06383487766,0,0,0.660920538791344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267671901745892,0,0,0,0,0,0
