codigo,producto,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P054,P055,P056,P057,P058,P059,P060,P061,P062,P063,P064,P065,P066,P067,P068,P069,P070,P071,P072,P073,P074,P075,P076,P077,P078,P079,P080,P081,P082,P083,P084,P085,P086,P087,P088,P089,P090,P091,P092,P093,P094,P095,P096,P097,P098,P099,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P143,P144,P145,P146,P147,P148,P149,P150,P151,P152
P001,Maíz,47.1025135477148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00952207458765013,0,0,0,14.2851339642239,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000457158138760701,0,0,0,0,0,0,0,0,0,0,0,105.424443721589,0,540.670766884856,0,10.9337169823242,861.175588215224,0.0204585282889769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92487284108183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.62544790184362e-05,0,0.00809101099130217,0,0,0,0,0,0,0
P002,Frijoles,0,20.6618461077473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152335936900307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91141908188887e-05,0,0,13.7442340492472,0,0,0,0,0,0,0,0,0,0,0,0,1.60250698239649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.391395705231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130813499547361,0,0,0.142833610632143,0,0,0,0
P003,Leguminosas (legumbres secas) y semillas oleaginosas,0,0,79.7990363836775,0,0,0,19.7885430775687,0,0,0,0,0,0,0,0,0,0,0,0.0593187578098353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5459425157045,17.82696520589,0,0,0.538483008476505,0,0,0,0,0.125280150500618,3.91929633379523,0,0,4.11610288442069,46.1960355045128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34332159337405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000798555917340767,0,0.00205193912286573,0.00863163532929194,0,0,0,0,0,0
P004,Arroz,0,0,0,6.31653243739199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431669846620136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.99586739712,63.3742799039682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P005,Otros cereales,0,0,0,0,1.59723269428619,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167679908373429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107.05307608458,0,1.35570409986047,0,0,0,166.498712129394,47.9512202696216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161243161826225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P006,Hortalizas,0,0,0,0,0,10.9484973602066,2.75546606356083,1.6246720199655,4.78782037167692,0,0,0,0,0,0,0,0,0,6.32771251866602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.739296744667999,0,0,0,0,0,0,0,0,0,0.0592345137599042,0,0,1.66956365112121,4.99497291317353e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4815883900972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0092186235305062,0,0.0591075141952034,0.169443879779126,0,0,0,0,0,0
P007,Sandías y melones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000302634975942912,0.000629943223557328,0,0,0,0,0,0,0,0,0,0,0.000914601181882277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00854539687024457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17983028564838e-06,0,1.85946577042031e-05,5.97149603830603e-05,0,0,0,0,0,0
P008,Ejotes y arvejas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106938815158428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0483007262921969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01918871314685e-05,0,0,0.00103974900482888,0,0,0,0,0,0
P009,Raíces y tubérculos,0,0,0,0,0,0,0,0,4.29134932409666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444586688198802,0,0,0,0,0,0,0,0,0.322489225492676,0,0,0,3.7330347560052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6339282195994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00491042220554077,0,0.00730745694435189,0.00320270669431254,0,0.000654221441929741,0,0,0,0
P010,Caña de azúcar y otras plantas azucareras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157551238537766,0,0,1.70701245561166e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91337677496131e-07,0,0,0,0,0,0
P011,Tabaco y otras plantas no perennes,0,0,0,0,0,0,7.08355936589319,0,0,0,23.021904930496,0,0,0,0.505985821858117,0,0,0,0.794092202760732,0,20.5554641738281,1.51941105230562,0,105.739036562995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50279008504832,4.11909346890553,0,0,0,0,0,0,0.0127246958794066,4.21469031857e-05,17.287886,0,0,0,262.612267907864,17.651477012758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17475083092068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53997739933866,0,0,0,0,0,0,0,0,1.15906090276844,0,0,0,0,0,0,0,0,13.20768976068,0,0,0,0,0,0,0,0.0286504803822681,0,0,0,0,0,0,0,0,0,0,0,0.0613757461084477,0,0,0,0,0,0.00233152302862451,0,5.06283911822916e-06,0,0,0,0.00232990140677909,0,3.27003563134405,0.143425936940268,0,0,0.740587380947443,0,0,0
P012,"Bananos, plátanos y otros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033804741254047,0,0,0,0,0,0,0,0,0,0,0,0.0117947403662196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0918246273130807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40640911081899e-05,0,3.17216331770358e-05,0.000476077442367491,0,0,0,0,0,0
P013,Frutas tropicales y subtropicales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340648475474761,0.855388408929167,0,0,0,6.4071651760908e-05,0,0,0,5.40604561732655e-06,0,0,0.019203193375283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00235919835669546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25037284754109e-05,0,4.45747699664371e-06,0.00256723006124267,0,0,0,0,0,0
P014,"Berries, otras frutas y semillas de frutas",0,0,0,0,0,0,14.4305509199736,0,0,0,0,0,4.45464710966378,1.85544359557684,0,0,0,0,0.185991818554547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9209526859871,19.6839809828294,0.0262523366358341,0,0.587740020181516,1.04494938229703,0,0,0,0.0767426941540939,0,0,3.41137132981316,0,0.0848678994228754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00244915493993724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.7369836935636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110568101400889,0,0.0934859077437411,0.0455564683228384,0,0,0,0,0,0
P015,Palma africana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86217519638166,0,0,0,0.14562771225554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1381913749253,3.17889971643755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
