codigo,producto,consumo_intermedio_domestico,consumo_intermedio_importado,impuestos_netos_productos,valor_agregado_bruto,suma_coeficientes
P001,Maíz,0.200592039268067,0.15016828423575,-0.034557989046015,0.683797665542198,1
P002,Frijoles,0.270867054559341,0.0833220066064042,-0.0470454174887092,0.692856356322964,1
P003,Leguminosas (legumbres secas) y semillas oleaginosas,0.344422708824118,0.2010126211828,0.00336000426773266,0.451204665725349,1
P004,Arroz,0.351486612097776,0.205847713080351,0.00503967938759026,0.437625995434283,1
P005,Otros cereales,0.216544937726493,0.184194517772796,0.00411167127022242,0.595148873230488,1
P006,Hortalizas,0.183386234052324,0.088961389662407,0.00409871061401035,0.723553665671259,1
P007,Sandías y melones,0.202812282461418,0.116649357327296,0.00395622906938196,0.676582131141904,1
P008,Ejotes y arvejas,0.167274697297307,0.0818281348029426,0.00371255255486561,0.747184615344884,1
P009,Raíces y tubérculos,0.301596958803799,0.107780446659485,0.00505518413215248,0.585567410404564,1
P010,Caña de azúcar y otras plantas azucareras,0.549755750672719,0.12487320683092,0.0104414631032073,0.314929579393154,1
P011,Tabaco y otras plantas no perennes,0.264454656565565,0.0905535021114628,0.00480592846396476,0.640185912859007,1
P012,"Bananos, plátanos y otros",0.32218334551208,0.118800310367477,0.00579718584120049,0.553219158279243,1
P013,Frutas tropicales y subtropicales,0.142942545353347,0.0587643220055981,0.00235300928990142,0.795940123351153,1
P014,"Berries, otras frutas y semillas de frutas",0.210947616724368,0.0911898482729317,0.00363935571950544,0.694223179283195,1
P015,Palma africana,0.294101203771295,0.105891233101788,0.00457789128314015,0.595429671843777,1
P016,Café en grano,0.619540657523538,0.0256977031091731,0.00102163658920181,0.353740002778087,1
P017,Cardamomo,0.517193305870077,0.032279406793364,0.00198692399642067,0.448540363340139,1
P018,Caucho natural,0.568046482591696,0.0722185829674841,0.00623833416295195,0.353496600277868,1
P019,Propagación de plantas,0.475012784393224,0.183431901566087,0.0240655195886602,0.317489794452028,1
P020,"Otros frutos oleaginosos, otras plantas bebestibles y especias aromáticas",0.247973699362692,0.117526946563748,0.0101804981869565,0.624318855886604,1
P021,Ganado bovino,0.204466159095673,0.0725374315155945,0.00299467998130822,0.720001729407424,1
P022,Ganado porcino y otro tipo de animales vivos n.c.p.,0.580872503137292,0.0456604961930192,0.00459303541246124,0.368873965257228,1
P023,Aves de corral,0.617460467144695,0.0532986431859272,0.00264545997956957,0.326595429689808,1
P024,Leche cruda,0.593171424484365,0.170049010464766,0.00470423666196487,0.232075328388904,1
P025,Huevos,0.319859406683951,0.0364493421445422,0.00251384557052642,0.64117740560098,1
P026,Otros productos de animales vivos,0.350318611202864,0.0408170723245723,0.00337275384284381,0.60549156262972,1
P027,Troncos de madera y leña,0.121246952708755,0.0486088410422384,0.00558503668850277,0.824559169560504,1
P028,Productos forestales no madereros,0.240651663082723,0.0592951820252806,0.00605658716219736,0.693996567729799,1
P029,"Peces vivos, frescos o refrigerados",0.168358558157398,0.228187039363356,0.0377588591228963,0.565695543356349,1
P030,Crustáceos sin congelar y otros productos de la pesca,0.469794536849789,0.0900541536041922,0.00661830861398172,0.433533000932037,1
P031,Petróleo crudo y gas natural,0.251530834086779,0.154865403536965,0.0094375233443885,0.584166239031867,1
P032,Minerales metálicos,0.24739776721959,0.1378702806695,0.00745010921195791,0.607281842898952,1
P033,Minerales no metálicos,0.27172069305196,0.119605875969658,0.0132833300769571,0.595390100901424,1
P034,Carne y despojos comestibles de ganado bovino; cueros y pieles de bovino y de otros animales,0.751294259832825,0.0162871329954542,0.0031701354078724,0.229248471763849,1
P035,Carne y despojos comestibles de ganado porcino,0.751143437411626,0.00707989593121568,0.00149294803109546,0.240283718626063,1
P036,Carne y despojos comestibles de aves,0.731959358806834,0.0327877574317024,0.0030433259938809,0.232209557767583,1
P037,Carne y despojos de otros animales y conservas y preparados de carne,0.528768644713956,0.132759780230475,0.007463375393031,0.331008199662538,1
P038,"Pescado congelado, preparado o en conserva y sus productos",0.14586146002669,0.561589702310699,0.0114507639660541,0.281098073696557,1
P039,"Crustáceos, moluscos y demás invertebrados acuáticos congelados, preparados o en conserva y sus productos",0.34204799362168,0.364377744534873,0.00468927649325758,0.288884985350189,1
P040,"Vegetales preparados o en conserva, legumbres y papas",0.507035347723061,0.23457495284473,0.0111948162151006,0.247194883217109,1
P041,Preparaciones y conservas de frutas y nueces,0.347664692870908,0.156979670764745,0.00491136146841373,0.490444274895933,1
P042,Jugos de frutas,0.469071472766255,0.219723385951679,0.0107326391810052,0.300472502101061,1
P043,Aceites de origen vegetal,0.543807513871658,0.11422459782393,0.00302234769729326,0.338945540607118,1
P044,"Margarina, grasas y otros aceites de origen animal y vegetal",0.550234692592805,0.142454389617179,0.00495780700814358,0.302353110781873,1
P045,Leche líquida y crema procesada,0.579492220602076,0.0756343738401298,0.00758010351987875,0.337293302037916,1
P046,Otros productos lácteos n.c.p.,0.54819201837942,0.0812478353815747,0.00894164636065805,0.361618499878348,1
P047,Harina de trigo,0.190645128430862,0.557671656946243,0.0056501533470336,0.246033061275861,1
P048,Arroz sin cáscara,0.261993676123318,0.398827660682081,0.00942545252269248,0.329753210671908,1
P049,"Otros productos de molinería, almidones y productos de almidón",0.312652998907781,0.328222622155219,0.00745056983854154,0.351673809098458,1
P050,Pan y otros productos de panadería y repostería n.c.p.,0.478742999882588,0.107251557414917,0.00554180549605081,0.408463637206445,1
P051,"Tortillas de maíz, incluso tostadas, horneadas o fritas",0.360770947647169,0.138359694343407,0.00286332077801325,0.498006037231411,1
P052,"Azúcar de caña sin refinar y refinada, melaza y los demás azúcares n.c.p.",0.638130176101019,0.0325251709555909,0.00326323148608573,0.326081421457305,1
P053,Productos alimenticios n.c.p.,0.360736788984709,0.264581311908068,0.0107358993107983,0.363945999796424,1
P054,Preparados para alimentación animal,0.323086229804298,0.406547744872737,0.00245731764530178,0.267908707677663,1
P055,"Aguardientes, licores, vinos, demás bebidas espirituosas y productos del tabaco",0.580351928155078,0.0885733911216032,0.0150616323376646,0.316013048385655,1
P056,Malta y cerveza de malta,0.342481387246974,0.346950125637263,0.0115579228311175,0.299010564284645,1
P057,Bebidas no alcohólicas,0.474069568910649,0.268432881874336,0.0109762694274919,0.246521279787523,1
P058,Aguas minerales y otras aguas embotelladas,0.257153989661601,0.111909795593378,0.00648166353169447,0.624454551213327,1
P059,"Hilados, tejidos, telas y otros productos textiles excepto prendas de vestir",0.333346091755559,0.301305537013262,0.00946346754658347,0.355884903684595,1
P060,"Prendas de vestir, adobo y teñido de pieles",0.405257497777212,0.23789670690138,0.011086236650181,0.345759558671227,1
P061,Cuero de piel curtida o adobada y cuero artificial o regenerado y artículos de cuero,0.438839458494258,0.109781929746168,0.00720146350182415,0.44417714825775,1
P062,"Calzado y sus partes, de cualquier material y de cualquier uso",0.412382574646172,0.203462512077021,0.00934233107445482,0.374812582202352,1
P063,"Madera aserrada y acepillada, productos de madera, corcho, paja y materiales trenzables",0.517566282931882,0.140476681136287,0.00796709656425792,0.333989939367573,1
P064,Pasta de papel y papel,0.32047367795415,0.437548207649542,0.00920458966835376,0.232773524727954,1
P065,Envases de papel y cartón,0.293020238589727,0.390431181641548,0.00796881988015455,0.30857975988857,1
P066,Productos de la edición,0.307377131894488,0.155438565915864,0.00726733508379108,0.529916967105857,1
P067,Productos de la impresión,0.362055308313354,0.256611487951917,0.0115539854627304,0.369779218271999,1
P068,"Gasolinas, diésel oil y fuel oils",0.137830101403493,0.061874512663032,0.00468036433087641,0.795615021602599,1
P069,"Aceites, grasas lubricantes y otros aceites preparados",0,0,0,0,0
P070,"Gases de petróleo, otros productos de la refinación de petróleo n.c.p.",0.229651096003443,0.182302124358181,0.010402738736121,0.577644040902256,1
P071,"Abonos, fertilizantes y pesticidas",0.282268761548137,0.306284551297615,0.00660146506646637,0.404845222087782,1
P072,"Pinturas, barnices, tintas y productos relacionados",0.265287899899215,0.373303038014969,0.0108033691696495,0.350605692916167,1
P073,"Jabón, preparados de limpieza, perfumes y preparados de toilet",0.213538098546566,0.365524461746935,0.0090522203903891,0.411885219316109,1
P074,Otros productos químicos,0.428582542235847,0.195207828256318,0.00656401995839336,0.369645609549442,1
P075,Productos farmacéuticos,0.295688116197135,0.355755080382757,0.0114704958265782,0.33708630759353,1
P076,Productos de caucho y plástico,0.218895190782507,0.475894306254079,0.00754445029908646,0.297666052664328,1
P077,Vidrio y productos de vidrio,0.361900288985053,0.288806080944954,0.00968987781715172,0.339603752252841,1
P078,Productos de cerámica y arcilla,0.408728163103417,0.136782134550059,0.00914407393765764,0.445345628408866,1
P079,"Cemento, cal y yeso",0.394377688531809,0.0957643828894779,0.0107183177045012,0.499139610874212,1
P080,"Artículos de hormigón, cemento y yeso",0.613613476273527,0.0661392271911241,0.0206199007764679,0.299627395758881,1
P081,Piedras talladas para construcción y otros productos minerales no metálicos n.c.p.,0.478350852917077,0.195456565315112,0.0120380478276889,0.314154533940122,1
P082,"Métales básicos de hierro y acero, productos primarios de metales preciosos y otros metales no ferrosos",0.295980172703874,0.427777727717767,0.00840685297517265,0.267835246603186,1
