codigo,producto,exportaciones_fob,consumo_hogares,consumo_isflsh,consumo_gobierno,formacion_bruta_capital_fijo,variacion_existencias,ajuste_cif_fob_publicado,ajuste_cif_fob_aplicado,total_componentes_no_solapados,total_demanda_final_fuente,ajuste_balance_produccion_utilizacion,demanda_final_balanceada
P001,Maíz,11.4508637896902,3224.93987528495,0,0,0,25.0807263958937,0,-0,3261.47146547054,3261.47146547054,-1.31876731757075e-10,3261.47146547041
P002,Frijoles,26.5721775959875,1303.74832387208,0.00204179040118291,37.5886801585092,0,2.30938159195463,0,-0,1370.22060500893,1370.22060500893,-3.36513039655983e-11,1370.2206050089
P003,Leguminosas (legumbres secas) y semillas oleaginosas,351.565491270436,82.8163497903019,0,0,0,29.0093651115822,0,-0,463.39120617232,463.39120617232,7.37827576813288e-11,463.391206172394
P004,Arroz,0.03701,0,0,0,0,1.35657614482212,0,-0,1.39358614482212,1.39358614482211,2.28226326726144e-11,1.39358614484492
P005,Otros cereales,1.2288042,97.7839968027453,0,0,0,0,0,-0,99.0128010027453,99.0128010027453,-3.1244708225131e-06,99.0127978782745
P006,Hortalizas,580.241991465419,3827.08129855607,0.171440213374126,0.0925034325580271,0,0,0,-0,4407.58723366742,4407.58723366742,2.21916707232594e-10,4407.58723366764
P007,Sandías y melones,1099.27342362726,129.988588653985,0,0,0,17.736939,0,-0,1246.99895128125,1246.99895128125,1.87583282240666e-10,1246.99895128144
P008,Ejotes y arvejas,560.204555924756,161.011998469635,0,0,0,0,0,-0,721.216554394391,721.216554394391,2.43289832724258e-11,721.216554394415
P009,Raíces y tubérculos,55.6360080572132,1374.67309893429,0,0,0,0,0,-0,1430.3091069915,1430.3091069915,-7.07132130628452e-11,1430.30910699143
P010,Caña de azúcar y otras plantas azucareras,2.316666,3.29261128151251,0,0,0,47.6609499825284,0,-0,53.2702272640409,53.2702272640399,1.22791789181065e-07,53.2702273868317
P011,Tabaco y otras plantas no perennes,285.9470406636,166.74203368947,0,2.21070267227216,0,33.2806157448065,0,-0,488.180392770149,488.180392770149,5.22959453519434e-12,488.180392770154
P012,"Bananos, plátanos y otros",4275.86101565449,1417.9794959988,1.87115330156866,0,243.873553640323,0,0,-0,5939.58521859518,5939.58521859518,-2.63753463514149e-11,5939.58521859515
P013,Frutas tropicales y subtropicales,185.677269679283,1137.66719872416,2.09328865142723,0,124.56664949384,0,0,-0,1450.00440654871,1450.00440654871,-1.20508047984913e-11,1450.0044065487
P014,"Berries, otras frutas y semillas de frutas",190.693626935215,1121.12376003269,0,0.0245136284194323,148.44569214862,0,0,-0,1460.28759274494,1460.28759274494,-1.91448634723201e-10,1460.28759274475
P015,Palma africana,0,0,0,0,609.055414886086,0,0,-0,609.055414886086,609.055414886087,4.54747350886464e-13,609.055414886087
P016,Café en grano,5543.63570328,0,0,0,51.9562679487228,-93.7291442618525,0,-0,5501.86282696687,5501.86282696687,-1.81898940354586e-12,5501.86282696687
