codigo,producto,exportaciones_fob,consumo_hogares,consumo_isflsh,consumo_gobierno,formacion_bruta_capital_fijo,variacion_existencias,ajuste_cif_fob_publicado,ajuste_cif_fob_aplicado,total_componentes_no_solapados,total_demanda_final_fuente
P001,Maíz,16.9603359103098,309.619005224696,0,0,0,13.4415852991602,0,-0,340.020926434166,340.020926434166
P002,Frijoles,0,29.7878265217945,24.7634956648451,0,0,0,0,-0,54.5513221866397,54.5513221866397
P003,Leguminosas (legumbres secas) y semillas oleaginosas,0,14.6358989727671,0,0,0,-49.1254984803987,0,-0,-34.4895995076316,-34.4895995076316
P004,Arroz,0,0,0,0,0,3.19068799093872,0,-0,3.19068799093872,3.19068799093873
P005,Otros cereales,3.2813407429157,5.33895288641943,0,0,0,-47.8141944952053,0,-0,-39.1939008658702,-39.1939008658701
P006,Hortalizas,0,75.88972488237,0,0,0,0,0,-0,75.88972488237,75.88972488237
P007,Sandías y melones,0.179127722,1.02290721248747,0,0,0,0,0,-0,1.20203493448747,1.20203493448747
P008,Ejotes y arvejas,0,2.17362945133074,0,0,0,0,0,-0,2.17362945133074,2.17362945133074
P009,Raíces y tubérculos,0,3.72592299863724,0,0,0,0,0,-0,3.72592299863724,3.72592299863724
P010,Caña de azúcar y otras plantas azucareras,0,1.13620885674299e-07,0,0,0,0,0,-0,1.13620885674299e-07,1.13620885672239e-07
P011,Tabaco y otras plantas no perennes,0,9.03902474860454,0,1.89960853225513,0,15.7076276699455,0,-0,26.6462609508051,26.6462609508052
P012,"Bananos, plátanos y otros",1.8728408776632,9.32980215021015,0,0,0,0,0,-0,11.2026430278733,11.2026430278733
P013,Frutas tropicales y subtropicales,0,13.3275193143403,0.0246873778537832,0,0,0,0,-0,13.352206692194,13.352206692194
P014,"Berries, otras frutas y semillas de frutas",0,363.332983126795,0,0,0,0,0,-0,363.332983126795,363.332983126795
P015,Palma africana,0,0,0,0,0,0,0,-0,0,0
P016,Café en grano,0,0,0,0,0,0,0,-0,0,0
P017,Cardamomo,0,0,0,0,0,0,0,-0,0,0
P018,Caucho natural,0,0,0,0,0,0,0,-0,0,0
P019,Propagación de plantas,0,10.1824415832454,0,0,0,0,0,-0,10.1824415832454,10.1824415832454
P020,"Otros frutos oleaginosos, otras plantas bebestibles y especias aromáticas",0,30.9454746626395,0,0,0,0,0,-0,30.9454746626395,30.9454746626395
P021,Ganado bovino,0,0,0,0,5.7247305343,0,0,-0,5.7247305343,5.7247305343
P022,Ganado porcino y otro tipo de animales vivos n.c.p.,0,0,0,0,2.079646,0,0,-0,2.079646,2.079646
P023,Aves de corral,0,0,0,0,0,0,0,-0,0,0
P024,Leche cruda,0,0,0,0,0,0,0,-0,0,0
P025,Huevos,0,560.768378788243,0,0,0,0,0,-0,560.768378788243,560.768378788243
P026,Otros productos de animales vivos,0,0.00191743,0,0,0,0,0,-0,0.00191743,0.00191743
