codigo,producto,produccion_precios_basicos,total_utilizacion_precios_basicos,diferencia_produccion_utilizacion,producto_interno_bruto,puestos_trabajo
P001,Maíz,4738.5275946788,4738.52759467893,-1.31876731757075e-10,4574.77360996765,818592.550480366
P002,Frijoles,1539.416785,1539.41678500003,-3.36513039655983e-11,1466.99427966055,333217
P003,Leguminosas (legumbres secas) y semillas oleaginosas,664.937440953739,664.937440953665,7.37827576813288e-11,667.171633593118,93732
P004,Arroz,116.23907099526,116.239070995237,2.28226326726144e-11,116.824878645387,3057
P005,Otros cereales,106.479291666462,106.479294790933,-3.1244708225131e-06,106.917099510881,16020
P006,Hortalizas,5264.68204028225,5264.68204028202,2.21916707232594e-10,5286.26044844014,139934
P007,Sandías y melones,1261.68247768771,1261.68247768753,1.87583282240666e-10,1266.67398258227,30636
P008,Ejotes y arvejas,771.170681856689,771.170681856664,2.43289832724258e-11,774.033693541853,20680
P009,Raíces y tubérculos,1747.91087520171,1747.91087520178,-7.07132130628452e-11,1756.74688652245,36732
P010,Caña de azúcar y otras plantas azucareras,6154.02174999346,6154.02174987067,1.22791789181065e-07,6218.27874103235,23900
P011,Tabaco y otras plantas no perennes,1283.65529144214,1283.65529144213,5.22959453519434e-12,1289.8244469452,29641
P012,"Bananos, plátanos y otros",6040.07004536788,6040.0700453679,-2.63753463514149e-11,6075.08545391474,75316
P013,Frutas tropicales y subtropicales,1653.65312581199,1653.65312581201,-1.20508047984913e-11,1657.5441869793,68013
P014,"Berries, otras frutas y semillas de frutas",1714.38148759881,1714.381487599,-1.91448634723201e-10,1720.62073167112,73119
P015,Palma africana,2414.89831270121,2414.89831270121,4.54747350886464e-13,2425.95345463659,23755
P016,Café en grano,9653.35154060787,9653.35154060787,-1.81898940354586e-12,9663.21375775019,90379
P017,Cardamomo,2322.39620650591,2322.39620650591,0,2327.01063125782,41324
P018,Caucho natural,2982.82958176672,2982.82958176672,-4.54747350886464e-13,3001.43746944892,15951
P019,Propagación de plantas,566.545105558973,566.545105559113,-1.40062184073031e-10,580.179307894662,11633
P020,"Otros frutos oleaginosos, otras plantas bebestibles y especias aromáticas",232.125537137539,232.125537137404,1.35173650051001e-10,234.488690747514,8096
P021,Ganado bovino,4026.88186732836,4026.88186732836,0,4038.94108984354,79479
P022,Ganado porcino y otro tipo de animales vivos n.c.p.,1370.894190518,1370.894190518,0,1377.19075608179,21011
P023,Aves de corral,6672.83395659852,6672.83395659852,0,6690.48667178101,27662
P024,Leche cruda,1747.58975889915,1747.58975889915,0,1755.81083471304,10860
P025,Huevos,2841.03907277424,2841.03907277418,6.13908923696727e-11,2848.18100626302,22805
P026,Otros productos de animales vivos,115.807452912907,115.807452912901,5.95434812566964e-12,116.198042944749,2231
P027,Troncos de madera y leña,4653.65190682008,4653.65190682008,0,4679.64272345519,249213
P028,Productos forestales no madereros,231.532974428041,231.532974427956,8.50661763251992e-11,232.935274068587,9523
P029,"Peces vivos, frescos o refrigerados",885.904900768382,885.904900768383,-1.02318153949454e-12,919.355659112779,20416
P030,Crustáceos sin congelar y otros productos de la pesca,888.22815407686,888.228154077007,-1.46542333823163e-10,894.106722120168,9420
P031,Petróleo crudo y gas natural,2522.5645694791,2522.5645694791,0,2546.37133149128,571
P032,Minerales metálicos,4027.6882440464,4027.6882440464,-4.54747350886464e-13,4057.69496133627,2603
P033,Minerales no metálicos,1899.97997412322,1899.97997413105,-7.83347786637023e-09,1925.21803525911,25375
P034,Carne y despojos comestibles de ganado bovino; cueros y pieles de bovino y de otros animales,6361.34972801057,6361.34972801044,1.2732925824821e-10,6381.51606802519,26321
P035,Carne y despojos comestibles de ganado porcino,1270.38454514202,1270.38454514204,-2.43289832724258e-11,1272.28116324742,6855
P036,Carne y despojos comestibles de aves,7706.97067107293,7706.9706710728,1.24600774142891e-10,7730.42549525028,20951
P037,Carne y despojos de otros animales y conservas y preparados de carne,2521.85939006094,2521.85939006095,-9.54969436861575e-12,2540.6809733774,7778
P038,"Pescado congelado, preparado o en conserva y sus productos",607.665778169527,607.66577816961,-8.31050783745013e-11,614.624015565595,686
P039,"Crustáceos, moluscos y demás invertebrados acuáticos congelados, preparados o en conserva y sus productos",468.218129493371,468.218129493431,-6.05382410867605e-11,470.413733761721,543
P040,"Vegetales preparados o en conserva, legumbres y papas",1010.1147315065,1010.11473150649,1.26192389870994e-11,1021.42278028188,1316
P041,Preparaciones y conservas de frutas y nueces,987.500693528172,987.500693528315,-1.42904355016071e-10,992.350666384398,2416
P042,Jugos de frutas,1135.47553891784,1135.47553891794,-9.43600753089413e-11,1147.6621881759,1914
P043,Aceites de origen vegetal,4548.24270508743,4548.24270508747,-3.91082721762359e-11,4561.98907595388,8071
P044,"Margarina, grasas y otros aceites de origen animal y vegetal",1112.92683406251,1112.92683406244,6.98037183610722e-11,1118.44451051997,2454
P045,Leche líquida y crema procesada,1036.48865748733,1036.4886574874,-6.57109922030941e-11,1044.34534880827,7414
P046,Otros productos lácteos n.c.p.,1933.42366171729,1933.42366171848,-1.19371179607697e-09,1950.71165236569,14668
P047,Harina de trigo,2168.86374150103,2168.86374150094,9.36779542826116e-11,2181.11815422933,526
P048,Arroz sin cáscara,543.081314663716,543.081314663625,9.12905306904577e-11,548.20010181104,308
