codigo,producto,balance_fila_fuente,diferencia_produccion_utilizacion,balance_fila_ajustado,balance_columna
P001,Maíz,0,-1.31876731757075e-10,0,0
P002,Frijoles,0,-3.36513039655983e-11,0,-2.27373675443232e-13
P003,Leguminosas (legumbres secas) y semillas oleaginosas,0,7.37827576813288e-11,0,0
P004,Arroz,-1.4210854715202e-14,2.28226326726144e-11,0,0
P005,Otros cereales,1.4210854715202e-14,-3.1244708225131e-06,0,0
P006,Hortalizas,0,2.21916707232594e-10,0,0
P007,Sandías y melones,0,1.87583282240666e-10,0,0
P008,Ejotes y arvejas,0,2.43289832724258e-11,0,0
P009,Raíces y tubérculos,0,-7.07132130628452e-11,0,0
P010,Caña de azúcar y otras plantas azucareras,0,1.22791789181065e-07,0,0
P011,Tabaco y otras plantas no perennes,-1.13686837721616e-13,5.22959453519434e-12,0,0
P012,"Bananos, plátanos y otros",0,-2.63753463514149e-11,0,0
P013,Frutas tropicales y subtropicales,0,-1.20508047984913e-11,0,0
P014,"Berries, otras frutas y semillas de frutas",0,-1.91448634723201e-10,0,0
P015,Palma africana,0,4.54747350886464e-13,0,0
P016,Café en grano,9.09494701772928e-13,-1.81898940354586e-12,0,0
P017,Cardamomo,0,0,0,0
P018,Caucho natural,-2.27373675443232e-13,-4.54747350886464e-13,0,0
P019,Propagación de plantas,-1.13686837721616e-13,-1.40062184073031e-10,0,0
P020,"Otros frutos oleaginosos, otras plantas bebestibles y especias aromáticas",-2.8421709430404e-14,1.35173650051001e-10,0,0
P021,Ganado bovino,0,0,0,0
P022,Ganado porcino y otro tipo de animales vivos n.c.p.,0,0,0,0
P023,Aves de corral,0,0,0,0
P024,Leche cruda,0,0,0,0
P025,Huevos,0,6.13908923696727e-11,0,0
P026,Otros productos de animales vivos,0,5.95434812566964e-12,0,1.4210854715202e-14
P027,Troncos de madera y leña,0,0,0,0
P028,Productos forestales no madereros,0,8.50661763251992e-11,0,-2.8421709430404e-14
P029,"Peces vivos, frescos o refrigerados",0,-1.02318153949454e-12,0,0
P030,Crustáceos sin congelar y otros productos de la pesca,0,-1.46542333823163e-10,0,0
P031,Petróleo crudo y gas natural,0,0,0,0
P032,Minerales metálicos,0,-4.54747350886464e-13,0,4.54747350886464e-13
P033,Minerales no metálicos,2.27373675443232e-13,-7.83347786637023e-09,0,0
P034,Carne y despojos comestibles de ganado bovino; cueros y pieles de bovino y de otros animales,0,1.2732925824821e-10,0,0
P035,Carne y despojos comestibles de ganado porcino,0,-2.43289832724258e-11,0,0
P036,Carne y despojos comestibles de aves,0,1.24600774142891e-10,0,0
P037,Carne y despojos de otros animales y conservas y preparados de carne,0,-9.54969436861575e-12,0,0
P038,"Pescado congelado, preparado o en conserva y sus productos",-1.13686837721616e-13,-8.31050783745013e-11,0,0
P039,"Crustáceos, moluscos y demás invertebrados acuáticos congelados, preparados o en conserva y sus productos",0,-6.05382410867605e-11,0,0
P040,"Vegetales preparados o en conserva, legumbres y papas",0,1.26192389870994e-11,0,0
P041,Preparaciones y conservas de frutas y nueces,0,-1.42904355016071e-10,0,0
P042,Jugos de frutas,0,-9.43600753089413e-11,0,0
P043,Aceites de origen vegetal,0,-3.91082721762359e-11,0,0
P044,"Margarina, grasas y otros aceites de origen animal y vegetal",0,6.98037183610722e-11,0,0
P045,Leche líquida y crema procesada,0,-6.57109922030941e-11,0,0
P046,Otros productos lácteos n.c.p.,0,-1.19371179607697e-09,0,0
P047,Harina de trigo,0,9.36779542826116e-11,0,0
P048,Arroz sin cáscara,0,9.12905306904577e-11,0,0
P049,"Otros productos de molinería, almidones y productos de almidón",0,-9.54969436861575e-12,0,0
P050,Pan y otros productos de panadería y repostería n.c.p.,0,-1.08229869510978e-10,0,0
P051,"Tortillas de maíz, incluso tostadas, horneadas o fritas",0,9.09494701772928e-13,0,0
